"bug.id","treatment","temp","load","mass.T0","died","Timepoint","expct.hour","age","instar","tot.cnsmp","Date","time","fed","mass","mass.gain","log.mg","log.cnsmp"
"20_c_1","control",20,NA,29.29,0,"T20",336,337.8833333,"5",764.45741,331,11.48333333,0,1557.23,1527.94,7.33167570193979,6.63916631420315
"20_c_1","control",20,NA,29.29,0,"T21",360,362.1666667,"5",763.89548,332,11.76666667,0,1603.96,1574.67,7.36180100549703,6.63843097352497
"20_c_1","control",20,NA,29.29,0,"T22",384,384.3833333,"5",752.804050000001,333,9.983333333,0,1590.54,1561.25,7.35324206143979,6.62380496817168
"20_c_1","control",20,NA,29.29,0,"T23",408,408.2333333,"5",858.80938,334,9.833333333,1,1850.48,1821.19,7.50724541256042,6.75554698816203
"20_c_1","control",20,NA,29.29,0,"T24",432,432.1166667,"5",899.579750000001,335,9.716666667,1,2093.32,2064.03,7.63241566137954,6.80192770982736
"20_c_1","control",20,NA,29.29,0,"T25",456,458.0833333,"5",1458.38266,336,11.68333333,1,3528.64,3499.35,8.16033251594476,7.28508333355159
"20_c_1","control",20,NA,29.29,0,"T26",480,483.6833333,"5",1888.41773,337,13.28333333,1,4955.32,4926.03,8.50228866879592,7.54349457752871
"20_c_1","control",20,NA,29.29,0,"T27",504,507.9166667,"5",2411.44708,338,13.51666667,1,6600.76,6571.47,8.79049283074387,7.78798229442063
"20_c_1","control",20,NA,29.29,0,"T28",528,531.5833333,"5",3123.42871,339,13.18333333,1,NA,NA,NA,8.04668662291776
"20_c_1","control",20,NA,29.29,0,"T29",552,544.7,"5",3368.67159,340,2.3,1,9933.87,9904.58,9.20075255540677,8.12227375869069
"20_c_1","control",20,NA,29.29,0,"T30",576,580,"5",4196.67981,341,13.6,1,11447.41,11418.12,9.34295684619047,8.34204897021605
"20_c_1","control",20,NA,29.29,0,"T31",600,602.2,"5",4948.66062,342,11.8,1,12807.18,12777.89,9.4554716125793,8.50687223713069
"20_c_1","control",20,NA,29.29,0,"T32",624,628.3166667,"w",NA,343,13.91666667,NA,11670.52,11641.23,9.36230838580583,NA
"20_c_10","control",20,NA,49.32,0,"T18",288,288.8166667,"5",NA,330,10.28333333,0,1435.69,1386.37,7.23444409939059,NA
"20_c_10","control",20,NA,49.32,0,"T19",312,314.65,"5",NA,331,12.11666667,1,2217.73,2168.41,7.68174945907081,NA
"20_c_10","control",20,NA,49.32,0,"T20",336,338.6833333,"5",NA,332,12.15,1,3509.81,3460.49,8.14916547652193,NA
"20_c_10","control",20,NA,49.32,0,"T21",360,360.8333333,"5",NA,333,10.3,1,4589.32,4540,8.42068229103539,NA
"20_c_10","control",20,NA,49.32,0,"T22",384,384.5833333,"5",NA,334,10.05,1,6522.93,6473.61,8.77548919170778,NA
"20_c_10","control",20,NA,49.32,0,"T23",408,409,"w",NA,335,10.46666667,NA,9188.29,9138.97,9.12030296663195,NA
"20_c_11","control",20,NA,35.31,0,"T21",360,360.8666667,"5",687.7257,333,10.38333333,0,1460.73,1425.42,7.26222178611849,6.53339006657415
"20_c_11","control",20,NA,35.31,0,"T22",384,384.4666667,"5",829.63816,334,9.983333333,1,2044.46,2009.15,7.60546702603966,6.7209896539288
"20_c_11","control",20,NA,35.31,0,"T23",408,408.4,"5",1112.68008,335,9.916666667,1,3065.65,3030.34,8.01643010342933,7.01452687060384
"20_c_11","control",20,NA,35.31,0,"T24",432,435.2,"5",1732.30104,336,12.71666667,1,4837.62,4802.31,8.47685233113234,7.45720588464262
"20_c_11","control",20,NA,35.31,0,"T25",456,460.3,"5",2377.62591,337,13.81666667,1,6475.46,6440.15,8.77030711075261,7.7738577520078
"20_c_11","control",20,NA,35.31,0,"T26",480,484.8,"5",2676.99019,338,14.31666667,1,7454.05,7418.74,8.9117645104211,7.89244837896377
"20_c_11","control",20,NA,35.31,0,"T27",504,508.9833333,"5",3355.05669,339,14.5,1,9281.66,9246.35,9.13198415803894,8.11822394643143
"20_c_11","control",20,NA,35.31,0,"T28",528,533.35,"5",4085.88761,340,14.86666667,1,11066.32,11031.01,9.3084656765051,8.31529426888081
"20_c_11","control",20,NA,35.31,0,"T29",552,556.6833333,"w",NA,341,14.2,NA,10394.43,10359.12,9.24562257012075,NA
"20_c_12","control",20,NA,54.69,0,"T23",408,408.7333333,"5",649.41304,335,10.26666667,0,1256.82,1202.13,7.09185026232523,6.47606893954106
"20_c_12","control",20,NA,54.69,0,"T24",432,435.2333333,"5",878.39306,336,12.76666667,1,2029.73,1975.04,7.58834393029469,6.77809416999546
"20_c_12","control",20,NA,54.69,0,"T25",456,460.3666667,"5",1151.99956,337,13.9,1,2976.84,2922.15,7.98007492569532,7.04925445931132
"20_c_12","control",20,NA,54.69,0,"T26",480,484.7166667,"5",1086.87359,338,14.25,1,2907.61,2852.92,7.9560983101614,6.99106058781041
"20_c_12","control",20,NA,54.69,0,"T27",504,509.1166667,"5",1198.31348,339,14.65,1,3391.48,3336.79,8.112764545995,7.088670413895
"20_c_12","control",20,NA,54.69,0,"T28",528,533.1833333,"5",1227.96571,340,14.71666667,1,3584.49,3529.8,8.16899649109846,7.11311418486445
"20_c_12","control",20,NA,54.69,0,"T29",552,556.4166667,"5",1231.69848,341,13.95,1,3665.65,3610.96,8.19172894395219,7.11614937387994
"20_c_12","control",20,NA,54.69,0,"T30",576,578.6833333,"5",1648.11327,342,12.21666667,1,5126.94,5072.25,8.53153978512316,7.40738643990361
"20_c_12","control",20,NA,54.69,0,"T31",600,604.5166667,"5",2082.64082,343,14.05,1,6387.14,6332.45,8.7534424860689,7.64139199240308
"20_c_12","control",20,NA,54.69,0,"T32",624,629.8666667,"5",2616.90357,344,15.4,1,7506.62,7451.93,8.91622833822594,7.86974705431591
"20_c_12","control",20,NA,54.69,0,"T33",648,652.9333333,"5",3462.08205,345,14.46666667,1,9404.96,9350.27,9.14316049887115,8.14962543562862
"20_c_12","control",20,NA,54.69,0,"T34",672,675.8333333,"5",3578.39632,346,13.36666667,1,9414.83,9360.14,9.14421552662474,8.18267002372553
"20_c_12","control",20,NA,54.69,0,"T35",696,699.5833333,"5",3680.84937,347,13.11666667,1,9583.87,9529.18,9.16211394887489,8.21089881159634
"20_c_12","control",20,NA,54.69,0,"T36",720,725.8166667,"w",NA,348,15.35,NA,8674.77,8620.08,9.06184964435713,NA
"20_c_13","control",20,NA,43.19,0,"T23",408,408.4,"5",656.36092,335,9.966666667,0,1361.94,1318.75,7.18443959722438,6.48671082057578
"20_c_13","control",20,NA,43.19,0,"T24",432,435.35,"5",856.05214,336,12.91666667,1,2063.71,2020.52,7.6111101830095,6.75233128550168
"20_c_13","control",20,NA,43.19,0,"T25",456,460.5,"5",1154.84131,337,14.06666667,1,3123.23,3080.04,8.03269786289628,7.05171821957709
"20_c_13","control",20,NA,43.19,0,"T26",480,484.6333333,"5",1567.30978,338,14.2,1,4477.21,4434.02,8.39706190076599,7.35711591267118
"20_c_13","control",20,NA,43.19,0,"T27",504,508.8833333,"5",2271.04162,339,14.45,1,6334.07,6290.88,8.74685624451924,7.72799386866594
"20_c_13","control",20,NA,43.19,0,"T28",528,533.0166667,"5",3124.45538,340,14.58333333,1,8039.76,7996.57,8.98676797872241,8.04701526858226
"20_c_13","control",20,NA,43.19,0,"T29",552,556.55,"5",3936.74983,341,14.11666667,1,9741.52,9698.33,9.17970898472093,8.27811074561769
"20_c_13","control",20,NA,43.19,0,"T30",576,578.5666667,"5",4834.14744,342,12.13333333,1,11331.42,11288.23,9.3315158689452,8.4834600614189
"20_c_13","control",20,NA,43.19,0,"T31",600,604.4333333,"5",5302.0762,343,14,1,11709.71,11666.52,9.36447848029585,8.57585375868081
"20_c_13","control",20,NA,43.19,0,"T32",624,629.8833333,"w",NA,344,15.45,NA,11590.29,11547.1,9.35418960217243,NA
"20_c_14","control",20,NA,41.02,0,"T18",288,288.85,"5",685.93332,330,10.45,0,1434.95,1393.93,7.23988237485161,6.53078042183536
"20_c_14","control",20,NA,41.02,0,"T19",312,314.8333333,"5",881.35439,331,12.43333333,1,2066.68,2025.66,7.61365085236425,6.78145980384862
"20_c_14","control",20,NA,41.02,0,"T20",336,338.8833333,"5",1275.72405,332,12.48333333,1,3349.83,3308.81,8.1043438871132,7.1512691787613
"20_c_14","control",20,NA,41.02,0,"T21",360,360.2166667,"5",1656.84607,333,9.816666667,1,4439.93,4398.91,8.38911206194416,7.41267111630994
"20_c_14","control",20,NA,41.02,0,"T22",384,384.9333333,"5",2341.91192,334,10.53333333,1,6325.28,6284.26,8.74580337344003,7.75872293456913
