ID,treatment,temp,block,date.hatch,date.died,timepoint.died,sacrifice,suc.ovp,date.3,bin,date.ovp,time.ovp,num.ovp,wasp.gen,date.4,timepoint.4,date.5,timepoint.5,date.wander,timepoint.wander,mass.wander,date.em,timepoint.em,instar.em,bled.em,num.em,num.coc,num.fail.spin,num.unem,load,time.T0,mass.T0,diet.cat.in.T0,diet.cont.in.T0,date.T1,time.T1,mass.T1,frass.T1,fed.T1,diet.cat.out.T0,diet.cont.out.T0,sacrifice.T1,diet.cat.in.T1,diet.cont.inT1,date.T2,time.T2,mass.T2,fed.T2,frass.T2,diet.cat.out.T1,diet.cont.out.T1,sacrifice.T2,diet.cat.in.T2,diet.cont.in.T2,date.T3,time.T3,mass.T3,frass.T3,fed.T3,diet.cat.out.T2,diet.cont.out.T2,sacrifice.T3,diet.cat.in.T3,diet.cont.in.T3,date.T4,time.T4,mass.T4,frass.T4,fed.T4,diet.cat.out.T3,diet.cont.out.T3,sacrifice.T4,diet.cat.in.T4,diet.cont.in.T4,date.T5,time.T5,mass.T5,frass.T5,fed.T5,diet.cat.out.T4,diet.cont.out.T4,sacrifice.T5,diet.cat.in.T5,diet.cont.in.T5,date.T6,time.T6,mass.T6,frass.T6,fed.T6,diet.cat.out.T5,diet.cont.out.T5,sacrifice.T6,diet.cat.in.T6,diet.cont.in.T6,date.T7,time.T7,mass.T7,frass.T7,fed.T7,diet.cat.out.T6,diet.cont.out.T6,sacrifice.T7,diet.cat.in.T7,diet.cont.in.T7,date.T8,time.T8,mass.T8,frass.T8,fed.T8,diet.cat.out.T7,diet.cont.out.T7,sacrifice.T8,diet.cat.in.T8,diet.cont.in.T8,date.T9,time.T9,mass.T9,frass.T9,fed.T9,diet.cat.out.T8,diet.cont.out.T8,sacrifice.T9,diet.cat.in.T9,diet.cont.in.T9,date.T10,time.T10,mass.T10,frass.T10,fed.T10,diet.cat.out.T9,diet.cont.out.T9,sacrifice.T10,diet.cat.in.T10,diet.cont.in.T10,date.T11,time.T11,mass.T11,frass.T11,fed.T11,diet.cat.out.T10,diet.cont.out.T10,sacrifice.T11,diet.cat.in.T11,diet.cont.in.T11,date.T12,time.T12,mass.T12,frass.T12,fed.T12,diet.cat.out.T11,diet.cont.out.T11,sacrifice.T12,diet.cat.in.T12,diet.cont.in.T12,date.T13,time.T13,mass.T13,frass.T13,fed.T13,diet.cat.out.T12,diet.cont.out.T12,sacrifice.T13,diet.cat.in.T13,diet.cont.in.T13,date.T14,time.T14,mass.T14,frass.T14,fed.T14,diet.cat.out.T13,diet.cont.out.T13,sacrifice.T14,diet.cat.in.T14,diet.cont.in.T14,date.T15,time.T15,mass.T15,frass.T15,fed.T15,diet.cat.out.T14,diet.cont.out.T14,sacrifice.T15,diet.cat.in.T15,diet.cont.in.T15,date.T16,time.T16,mass.T16,frass.T16,fed.T16,diet.cat.out.T15,diet.cont.out.T15,sacrifice.T16,diet.cat.in.T16,diet.cont.in.T16,date.T17,time.T17,mass.T17,frass.T17,fed.T17,diet.cat.out.T16,diet.cont.out.T16,sacrifice.T17,diet.cat.in.T17,diet.cont.in.T17,date.T18,time.T18,mass.T18,frass.T18,fed.T18,diet.cat.out.T17,diet.cont.out.T17,sacrifice.T18,diet.cat.in.T18,diet.cont.in.T18,date.T19,time.T19,mass.T19,frass.T19,fed.T19,diet.cat.out.T18,diet.cont.out.T18,sacrifice.T19,diet.cat.in.T19,diet.cont.in.T19,date.T20,time.T20,mass.T20,frass.T20,fed.T20,diet.cat.out.T19,diet.cont.out.T19,sacrifice.T20,diet.cat.in.T20,diet.cont.in.T20,date.T21,time.T21,mass.T21,frass.T21,fed.T21,diet.cat.out.T20,diet.cont.out.T20,sacrifice.T21,diet.cat.in.T21,diet.cont.in.T21,date.T22,time.T22,mass.T22,frass.T22,fed.T22,diet.cat.out.T21,diet.cont.out.T21,sacrifice.T22,diet.cat.in.T22,diet.cont.in.T22,date.T23,time.T23,mass.T23,frass.T23,fed.T23,diet.cat.out.T22,diet.cont.out.T22,sacrifice.T23,diet.cat.in.T23,diet.cont.in.T23,date.T24,time.T24,mass.T24,frass.T24,fed.T24,diet.cat.out.T23,diet.cont.out.T23,sacrifice.T24,diet.cat.in.T24,diet.cont.in.T24,date.T25,time.T25,mass.T25,frass.T25,fed.T25,diet.cat.out.T24,diet.cont.out.T24,sacrifice.T25,diet.cat.in.T25,diet.cont.in.T25,date.T26,time.T26,mass.T26,frass.T26,fed. T26,diet.cat.out.T25,diet.cont.out.T25,sacrifice.T26,diet.cat.in.T26,diet.cont.in.T26,date.T27,time.T27,mass.T27,frass.T27,fed.T27,diet.cat.out.T26,diet.cont.out.T26,sacrifice.T27,diet.cat.in.T27,diet.cont.in.T27,date.T28,time.T28,mass.T28,frass.T28,fed.T28,diet.cat.out.T27,diet.cont.out.T27,sacrifice.T28,diet.cat.in.T28,diet.cont.inT28,date.T29,time.T29,mass.T29,frass.T29,fed.T29,diet.cat.out.T28,diet cont.out.T28,sacrifice.T29,diet.cat.in.T29,diet.cont.in.T29,date.T30,time.T30,mass.T30,frass.T30,fed.T30,diet.cat.out.T29,diet.cont.out.T29,sacrifice.T30,diet.cat.in.T30,diet.cont.in.T30,date.T31,time.T31,mass.T31,frass.T31,fed.T31,diet.cat.out.T30,diet.cont.out.T30,sacrifice.T31,diet.cat.in.T31,diet.cont.in.T31,date.T32,time.T32,mass.T32,frass.T32,fed.T32,diet.cat.out.T31,diet.cont.out.T31,sacrifice.T32,diet.cat.in.T32,diet.cont.in.T32,date.T33,time.T33,mass.T33,frass.T33,fed.T33,diet.cat.out.T32,diet.cont.out.T32,sacrifice.T33,diet.cat.in.T33,diet.cont.in.T33,date.T34,time.T34,mass.T34,frass.T34,fed.T34,diet.cat.out.T34,diet.cont.out.T34,sacrifice.T34,diet.cat.in.T34,diet.cont.in.T34,date.T35,time.T35,mass.T35,frass.T35,fed.T35,diet.cat.out.T34,diet.cont.out.T34,sacfifice.T35,diet.cat.in.T35,diet.cont.in.T35,date.T36,time.T36,mass.T36,frass.T36,fed.T36,diet.cat.out.T35,diet.cont.out.T35,sacrifice.T36,diet.cat.in.T36,diet.cont.in.T36,date.T37,time.T37,mass.T37,frass.T37,fed.T37,diet.cat.out.T36,diet.cont.out.T36,sacrifice.T37,diet.cat.in.T37,diet.cont.in.T37,date.T38,time.T38,diet.cont.out.T37,comments
1,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/5/16,T4,11/8/16,T11,11/12/2016,T15,8685.32,,,,,0,,,,0,8:43,87.35,3782.76,2843.34,11/3/2016,3:04,139.07,30.88,1,3613.47,2777.37,0,2153.96,2198.74,11/4/16,9:16,256.73,1,142.17,1705.45,2034.25,0,1291.89,1486.08,11/4/16,3:11,253.86,0,0,1210.64,1412.31,0,1371.96,1072.52,11/5/16,6:36,283.58,0,0,1180.02,951.16,0,775.75,967.53,11/5/2016,3:03,351.54,6.56,1,580.91,853.9,0,720.59,560.24,11/6/16,8:50,681.25,152.18,1,3.08,393.28,0,1772.66,1861.16,11/6/16,3:01,922.59,55.68,1,1346.55,1774.73,0,5491.15,3564.05,11/7/16,8:32,978.2,20.42,1,5025.13,3294.02,0,1886.8,1832.3,11/7/16,2:46,1250.82,52.95,1,1410.61,1712.45,0,2047.77,2165.5,11/8/16,8:29,1186.04,26.55,1,1693.05,1783.44,0,2071.91,2711.88,11/8/16,2:36,1203.59,0,0,1862.04,2565.14,0,4688.91,3934.07,11/9/16,8:23,2349.05,291.43,1,2840.12,3599.31,0,6241.64,9292.98,11/10/16,8:31,5262.23,1307.87,1,1431.3,8820.63,0,13660.02,9500.04,11/11/16,8:29,8881.74,3669.45,1,5396.02,9039.98,0,9127.83,7995.77,11/12/16,8:16,8685.32,,,,7523.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran out of food at T6
2,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/4/16,T3,11/7/16,T9,11/11/16,T14,8957.22,,,,,0,,,,0,8:45,103.68,4090.74,2843.34,11/3/2016,3:02,154.13,25.43,1,3916.84,2777.37,0,2112.33,2198.74,11/4/16,8:59,172.33,1,18.46,1896.59,2034.25,0,1109.59,1486.08,11/4/16,3:30,172.12,0.57,1,1017.04,1412.31,0,1585.81,1072.52,11/5/16,7:01,415.38,81.58,1,1099.84,951.16,0,742.69,967.53,11/5/2016,4:04,612.22,62.9,1,359.42,853.9,0,757.44,560.24,11/6/16,9:00,966.62,170.91,1,11.66,393.28,0,2581.16,1861.16,11/6/16,3:04,1172.05,303.01,1,1898.46,1774.73,0,6061.44,3564.05,11/7/16,8:53,1097.71,27.96,1,5739.02,3294.02,0,1990.45,1832.3,11/7/16,2:31,1085.97,0,0,1858.11,1712.45,0,2534.67,2165.5,11/8/16,8:44,2252.25,394.81,1,541.14,1783.44,0,3135.9,2711.88,11/8/16,2:50,2641.48,240.24,1,2317.77,2565.14,0,8759.87,3934.07,11/9/16,8:18,5239.06,1551.65,1,4031.57,3599.31,0,17554.44,9292.98,11/10/16,8:25,8561.53,4017.07,1,8828.22,8820.63,0,21698.15,9500.04,11/11/16,8:33,8957.22,,,,9039.98,,,,,,,,,,7523.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran out of food at T6
3,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/5/16,T4,11/8/16,T11,11/12/16,T15,9204.25,,,,,0,,,,0,8:47,57.23,2691.54,2843.34,11/3/2016,2:58,95.2,8.65,1,2556.55,2777.37,0,2264.23,2198.74,11/4/16,9:10,215.46,1,111.71,1857.37,2034.25,0,1228.22,1486.08,11/4/16,3:24,241.69,41.94,1,1049.86,1412.31,0,1317.64,1072.52,11/5/16,7:03,260.97,0,0,1147.83,951.16,0,781.09,967.53,11/5/2016,4:01,280.53,1.32,1,655.62,853.9,0,492.05,560.24,11/6/16,9:03,523.66,52.92,1,10.88,393.28,0,1341.11,1861.16,11/6/16,3:21,750.94,47.37,1,970.07,1774.73,0,5024.32,3564.05,11/7/16,8:38,1365.77,290.32,1,3687.72,3294.02,0,1655.31,1832.3,11/7/16,2:44,1468.92,115.1,1,1304.6,1712.45,0,2104.27,2165.5,11/8/16,8:31,1431.18,10.12,1,1742.23,1783.44,0,2197.02,2711.88,11/8/16,2:46,1519.11,0,0,1938.15,2565.14,0,6239.6,3934.07,11/9/16,8:45,2861.67,460.21,1,3995.4,3599.31,0,5318.13,9292.98,11/10/16,8:04,5527.88,1683.52,1,122.85,8820.63,0,15546.48,9500.04,11/11/16,8:30,9075.73,3053.05,1,7401.75,9039.98,0,9816.54,7995.77,11/12/16,8:10,9204.25,,,,7523.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran out of food at T6
4,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/5/16,T5,11/8/16,T11,11/12/16,T15,9493.27,,,,,0,,,,0,9:10,67.23,3760.31,2843.34,11/3/2016,3:39,60.35,0,0,3663.44,2777.37,0,1332.92,2198.74,11/4/16,9:23,183.34,1,64.04,989.73,2034.25,0,1101.19,1486.08,11/4/16,3:16,210.98,16.99,1,963.55,1412.31,0,1272.63,1072.52,11/5/16,6:50,201.14,0,0,1132.85,951.16,0,875.57,967.53,11/5/2016,4:12,259.16,6.87,1,663.12,853.9,0,952.07,560.24,11/6/16,8:58,650,223.1,1,102.28,393.28,0,1686.62,1861.16,11/6/16,2:56,800.54,78.11,1,1333.75,1774.73,0,3033.8,3564.05,11/7/16,9:04,1138.13,108.67,1,2166.57,3294.02,0,1657.39,1832.3,11/7/16,2:54,1168.79,24.93,1,1496.32,1712.45,0,3458.03,2165.5,11/8/16,8:22,1152.64,2.06,1,3027.36,1783.44,0,2003.25,2711.88,11/8/16,2:43,1122.84,0,0,1860.55,2565.14,0,6189.36,3934.07,11/9/16,8:16,2071.73,249.93,1,4434.19,3599.31,0,8447.22,9292.98,11/10/16,8:12,4553.41,1760.89,1,3451.01,8820.63,0,8039.49,9500.04,11/11/16,8:15,8057.88,3123.92,1,702.49,9039.98,0,8330.9,7995.77,11/12/16,8:14,9493.27,,,,7523.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/5/16,T4,11/8/16,T11,11/12/16,T15,9385.32,,,,,0,,,,0,9:17,62.25,2743.37,2843.34,11/3/2016,3:16,111.24,12.91,1,2587.44,2777.37,0,1244.02,2198.74,11/4/16,9:13,248.46,1,106.12,823.53,2034.25,0,849.39,1486.08,11/4/16,2:59,274.68,39.57,1,689.42,1412.31,0,963.45,1072.52,11/5/16,6:27,246.91,3.42,1,846.73,951.16,0,932.32,967.53,11/5/2016,4:18,346.07,12.72,1,669.65,853.9,0,760.6,560.24,11/6/16,9:06,825.95,83.82,1,1.46,393.28,0,2093.98,1861.16,11/6/16,3:18,1130.59,92.49,1,1564.41,1774.73,0,5654.27,3564.05,11/7/16,9:38,1510.78,123.19,1,4491.34,3294.02,0,1662.64,1832.3,11/7/16,2:49,1570.53,37.22,1,1444.84,1712.45,0,2059.42,2165.5,11/8/16,8:26,1519.07,13.96,1,1688.41,1783.44,0,2508.39,2711.88,11/8/16,2:40,1464.64,0,0,2368.62,2565.14,0,4532.67,3934.07,11/9/16,8:30,1830,48.75,1,3821.12,3599.31,0,6432.94,9292.98,11/10/16,8:23,6127.13,2211.15,1,1614.05,8820.63,0,10448.35,9500.04,11/11/16,8:20,9441.23,3729.05,1,2349.82,9039.98,0,8804.51,7995.77,11/12/16,8:12,9385.32,,,,7523.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran out of food at T6
6,control,30,B,10/31/16,,,0,,11/3/16,1,,,,1,11/5/16,T4,11/8/16,T11,11/13/16,T16,9109.47,,,,,0,,,,0,9:18,50.14,3581.77,2843.34,11/3/2016,3:08,78.51,14.98,1,3431.11,2777.37,0,2351.6,2198.74,11/4/16,9:19,188.78,1,122.19,1948.12,2034.25,0,927.18,1486.08,11/4/16,3:21,229.72,25.3,1,769.26,1412.31,0,1137.49,1072.52,11/5/16,6:46,221.84,6.72,1,998.2,951.16,0,456.67,967.53,11/5/2016,3:37,256.9,5.59,1,295.74,853.9,0,936.27,560.24,11/6/16,8:54,725.96,210.04,1,62.4,393.28,0,1487.02,1861.16,11/6/16,2:58,908.95,124.8,1,1066.39,1774.73,0,4456.01,3564.05,11/7/16,8:44,1466.27,231.05,1,3263.93,3294.02,0,1704.27,1832.3,11/7/16,2:36,1490.2,75.26,1,1495.82,1712.45,0,2144.5,2165.5,11/8/16,8:39,1436.57,15.28,1,1801.82,1783.44,0,2054.85,2711.88,11/8/16,3:00,1379.27,0,0,1923.69,2565.14,0,5760.59,3934.07,11/9/16,8:25,2814.15,425.88,1,3519.68,3599.31,0,11250.53,9292.98,11/10/16,8:37,2280.21,64.25,1,8682.05,8820.63,0,7259.23,9500.04,11/11/16,8:27,4256.49,604.52,1,3978.3,9039.98,0,8682.75,7995.77,11/12/16,8:24,8139.31,2641.54,1,1313.88,7523.74,0,8406.47,6112.05,11/13/16,8:18,9109.47,,,,5635.8,,,9097.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate unknown portion of frass T14-T15--still had food
7,para,30,B,10/31/16,,,0,1,11/3/16,1,11/3/16,8:33,3,1,11/4/16,T3,11/8/16,T10,,,,11/15/16,T18,5,0,50,27,23,436,486,9:21,132,3048.16,2843.34,11/3/2016,3:47,188.05,20.72,1,2868.11,2777.37,0,2178.21,2198.74,11/4/16,9:18,178.01,1,3.72,1988.35,2034.25,0,1245.65,1486.08,11/4/16,3:34,166.96,0,0,1155.28,1412.31,0,1263.23,1072.52,11/5/16,6:57,327.29,36.56,1,906.34,951.16,0,636.7,967.53,11/5/2016,3:44,457.05,21.63,1,340.74,853.9,0,763.32,560.24,11/6/16,9:09,671.29,57.04,1,268.04,393.28,0,1550.38,1861.16,11/6/16,3:15,930.7,66.51,1,1111.67,1774.73,0,5947.32,3564.05,11/7/16,9:43,930.59,77.21,1,5309.81,3294.02,0,1953.94,1832.3,11/7/16,2:39,924.29,0,0,1835.77,1712.45,0,2577.56,2165.5,11/8/16,8:35,1151.65,96.07,1,1857.16,1783.44,0,2029.38,2711.88,11/8/16,2:56,1201.99,52.75,1,1669.35,2565.14,0,5937,3934.07,11/9/16,8:31,1937.04,258.24,1,4550.79,3599.31,0,9308.23,9292.98,11/10/16,8:32,3347.17,354.32,1,6757.57,8820.63,0,9220.15,9500.04,11/11/16,8:46,5542.18,686.87,1,5545.16,9039.98,0,8620.26,7995.77,11/12/16,8:27,6979.14,635.6,1,5603.76,7523.74,0,10417.67,6112.05,11/13/16,8:14,7846.69,695.3,1,7861.35,5635.8,0,6533.23,9097.36,11/14/16,8:19,7443.71,95.81,1,5863.41,8090.33,0,8335.89,6948.74,11/15/16,8:12,,,,,6429.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not run out of food, but may have been eating frass at T6"
8,para,30,B,10/31/16,,,0,1,11/3/16,1,11/3/16,8:31,1,1,11/5/16,T5,11/9/16,T12,,,,11/13/16,T16,5,0,78,70,8,54,132,9:23,66.14,3297.8,2843.34,11/3/2016,3:31,102.63,15.66,1,3139.63,2777.37,0,1450,2198.74,11/4/16,9:11,186.76,1,44.59,1129.38,2034.25,0,1037.74,1486.08,11/4/16,3:39,218.82,21.23,1,880.99,1412.31,0,1170.18,1072.52,11/5/16,6:39,225.3,14.5,1,1003.92,951.16,0,513.16,967.53,11/5/2016,3:29,217.42,0,0,399.19,853.9,0,460.04,560.24,11/6/16,8:47,409.19,74.88,1,4.43,393.28,0,1586.94,1861.16,11/6/16,2:50,557.72,56.65,1,1271.33,1774.73,0,4096.11,3564.05,11/7/16,9:10,958.7,134.06,1,3227.42,3294.02,0,1983.92,1832.3,11/7/16,2:51,998.56,24.59,1,1800.93,1712.45,0,2855.02,2165.5,11/8/16,8:24,1085.69,52.66,1,2304.86,1783.44,0,2657.06,2711.88,11/8/16,2:34,1069.98,0,0,2464.21,2565.14,0,4641.55,3934.07,11/9/16,8:20,1485.31,155.72,1,3707.44,3599.31,0,6756.75,9292.98,11/10/16,8:28,2638.64,327.71,1,4775.96,8820.63,0,9249.84,9500.04,11/11/16,8:10,4265.55,538.95,1,6483.82,9039.98,0,9179.51,7995.77,11/12/16,8:33,4907.76,766.56,1,7005.96,7523.74,0,7985.6,6112.05,11/13/16,,,,,,5635.8,,,9097.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ran out of food at T6
9,para,30,B,10/31/16,,,0,1,11/3/16,1,11/3/16,8:30,1,1,11/7/16,T8,,,,,,11/13/16,T16,4,0,13,7,6,24,37,9:27,45.51,2658.94,2843.34,11/3/2016,3:27,73.52,13.45,1,2533.65,2777.37,0,2436.91,2198.74,11/4/16,8:59,102.83,1,30.07,2185.33,2034.25,0,1424.58,1486.08,11/4/16,3:08,103.13,0,0,1325.88,1412.31,0,939.12,1072.52,11/5/16,6:42,122.4,6.16,1,766.3,951.16,0,756.51,967.53,11/5/2016,3:12,145.88,5.22,1,598.36,853.9,0,550.44,560.24,11/6/16,9:16,230.1,35.43,1,209.64,393.28,0,1042.25,1861.16,11/6/16,3:09,216.64,0,0,955.36,1774.73,0,2237,3564.05,11/7/16,8:48,201.96,0,0,1909.03,3294.02,0,2093.28,1832.3,11/7/16,2:34,211.84,0,0,1952.12,1712.45,0,2332.19,2165.5,11/8/16,8:42,299.73,36.5,1,1804.24,1783.44,0,1116.01,2711.88,11/8/16,2:53,331.95,8.5,1,909.8,2565.14,0,1589.74,3934.07,11/9/16,8:37,484.78,52.35,1,1113.58,3599.31,0,2400.81,9292.98,11/10/16,8:19,768.9,76.38,1,1625.83,8820.63,0,4446.46,9500.04,11/11/16,8:24,1044.72,95.65,1,3648.81,9039.98,0,3764.94,7995.77,11/12/16,8:21,1066.58,84.21,1,3207.63,7523.74,0,4007.68,6112.05,11/13/16,,,,,,5635.8,,,9097.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,para,30,B,10/31/16,,,1,,11/3/16,1,11/3/16,8:30,1,1,11/6/16,T6,,,,,,,,,,0,,,,0,9:30,41.39,3061.38,2843.34,11/3/2016,3:23,59.12,7.61,1,2949.93,2777.37,0,1254.39,2198.74,11/4/16,9:08,111.45,1,19.49,1029.05,2034.25,0,9366.66,1486.08,11/4/16,3:05,107.16,0.6,1,866.07,1412.31,0,904.19,1072.52,11/5/16,6:31,168.69,17.12,1,687.83,951.16,0,1066.83,967.53,11/5/2016,3:20,200.71,15.7,1,887.7,853.9,0,688.45,560.24,11/6/16,9:13,187.16,6.74,1,516.16,393.28,0,1376.89,1861.16,11/6/16,3:13,205.27,0,0,1270.54,1774.73,0,2285.17,3564.05,11/7/16,8:43,474.21,53.23,1,1680.98,3294.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
