RecordID,BugID,Date.start,Temp.rear,Temp.test,Date.0h,Time.0h,Fed.0h,Mass.0h,Date.6h,Time.6h,Fed.6h,Mass.6h,Date.24h,Time.24h,Fed.24h,Mass.24h,Date.30h,Time.30h,Fed.30h,Mass.30h,Date.48h,Time.48h,Fed.48h,Mass.48h,Date.54h,Time.54h,Fed.54h,Mass.54h,Date.72h,Time.72h,Fed.72h,Mass.72h,Date.96h,Time.96h,Fed.96h,Mass.96h,Date.120h,Time.120h,Fed.120h,Mass.120h,Date.144h,Time.144h,Fed.144h,Mass.144h,Date.wander,Date.pupa,Mass.pupa,Date.death,Notes
65,40_15,42472,11C_35C,40,42472,10:53,NA,0.8169,42472,16:11,1,0.9271,42473,9:38,1,1.7886,42473,15:37,1,2.1721,42474,9:55,1,3.0524,42474,15:10,1,3.4281,42475,8:47,1,3.5816,42476,10:42,1,3.3412,42477,10:17,0,N/A,42478,NA,NA,NA,NA,NA,NA,42477,died_at_larvae_stage
47,30_14,42451,11C_35C,30,42451,9:47,NA,0.9068,42451,16:52,1,1.0555,42452,10:04,1,1,42452,15:20,1,1.1941,42453,10:09,1,2.1309,42453,15:15,1,2.4486,42454,10:00,1,3.6424,42455,9:20,1,5.3006,42456,9:08,1,7.0221,NA,NA,NA,NA,42457,42462,4.1251,42462,NA
51,38_14,42472,11C_35C,38,42472,10:31,NA,0.9106,42472,15:34,1,1.0035,42473,9:26,1,1.9399,42473,15:51,1,2.5124,42474,9:18,1,3.7951,42474,15:27,1,3.8713,42475,8:54,1,3.5999,42476,9:14,0,3.3757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42476,died_at_larval_stage
52,38_15,42472,11C_35C,38,42472,10:33,NA,0.9145,42472,15:36,1,1.0967,42473,9:27,1,2.285,42473,15:48,1,2.9496,42474,9:24,1,4.9923,42474,15:26,1,5.8177,42475,8:56,1,7.6497,42476,9:15,1,8.4086,NA,NA,NA,NA,NA,NA,NA,NA,42476,NA,NA,42481,died_as_larval/pupal_intermediate
79,40_18.2,42486,11C_35C,40,42120,10:20,NA,0.9629,42120,14:58,1,1.0535,42487,9:44,1,2.0728,42487,15:46,1,2.4414,42488,9:34,1,2.758,42488,15:43,1,3.1808,4/29/1930,9:39,1,3.4854,42490,9:41,1,3.1987,42491,9:36,1,3.0048,42492,9:12,1,2.653,NA,NA,NA,42496,died_at_larval_stage
64,40_13,42472,11C_35C,40,42472,10:49,NA,0.9799,42472,16:09,1,1.065,42473,9:38,1,1.8778,42473,15:34,1,2.2646,42474,9:52,1,3.2773,42474,15:11,1,3.7223,42475,8:43,1,4.5824,42476,10:30,1,4.9771,42477,10:13,1,5.36,42478,9:45,1,5.3236,NA,NA,NA,42480,died_at_larvae_stage
49,38_12,42472,11C_35C,38,42472,10:24,NA,0.9864,42472,15:30,0,0.9345,42473,9:25,1,1.2722,42473,15:45,1,1.4486,42474,9:22,1,1.9149,42474,15:28,1,2.2476,42475,8:50,1,3.135,42476,9:25,1,4.7055,42477,9:08,1,4.3206,42478,9:30,0,NA,NA,NA,NA,42478,died_at_larval_stage
63,40_12,42472,11C_35C,40,42472,10:48,NA,1.0331,42472,16:07,1,1.2446,42473,9:37,1,2.5433,42473,15:32,1,3.1272,42474,9:51,1,4.0121,42474,15:12,1,4.7129,42475,8:39,1,5.4211,42476,10:28,1,6.0832,42477,10:11,1,5.2353,42478,NA,NA,NA,42477,NA,NA,42481,died_before_pupating
100,34-30,42536,11-35C,34,42536,9:26,NA,1.0483,42536,15:34,1,1.3695,42537,9:21,1,3.1388,42537,15:31,1,4.1724,42538,9:31,1,6.0535,42538,15:38,1,6.5774,42539,9:44,1,8.7848,42540,9:48,1,8.2555,42541,NA,NA,NA,NA,NA,NA,NA,42540,42543,3.9676,NA,NA
45,30_12,42451,11C_35C,30,42451,9:45,NA,1.0573,42451,16:49,1,1.0301,42452,10:00,1,2.3176,42452,15:16,1,2.8849,42453,10:05,1,5.4798,42453,15:13,1,6.7121,42454,9:58,1,10.1061,42455,9:24,1,9.3728,NA,NA,NA,NA,NA,NA,NA,NA,42455,42459,5.2124,42459,NA
